round,loss,accuracy,asr,evasion_rate,timestamp
1,2.899558,24.5900,95.5194,100.0000,2026-06-07 07:43:48
2,0.413231,87.6200,38.4418,100.0000,2026-06-07 07:43:57
3,0.629423,78.5100,99.9777,100.0000,2026-06-07 07:44:06
4,0.409561,85.8400,44.0816,100.0000,2026-06-07 07:44:15
5,0.182077,94.2700,99.9220,100.0000,2026-06-07 07:44:25
6,0.114793,96.2800,99.7771,100.0000,2026-06-07 07:44:35
7,0.142495,95.1300,99.6879,100.0000,2026-06-07 07:44:45
8,0.155520,94.8900,99.9443,100.0000,2026-06-07 07:44:55
9,0.113969,96.1000,99.9443,100.0000,2026-06-07 07:45:03
10,0.108196,96.6800,99.9108,100.0000,2026-06-07 07:45:13
11,0.081393,97.4700,99.9108,100.0000,2026-06-07 07:45:23
12,0.066873,97.8800,100.0000,100.0000,2026-06-07 07:45:32
13,0.071078,97.5500,99.9554,100.0000,2026-06-07 07:45:41
14,0.065843,97.8000,99.8328,100.0000,2026-06-07 07:45:51
15,0.065187,98.0000,99.9220,100.0000,2026-06-07 07:46:01
16,0.104450,96.6800,99.7994,100.0000,2026-06-07 07:46:11
17,0.133672,96.0100,99.9666,100.0000,2026-06-07 07:46:22
18,0.083366,97.3000,97.9938,100.0000,2026-06-07 07:46:32
19,0.120648,96.2700,99.9554,100.0000,2026-06-07 07:46:41
20,0.047644,98.4200,99.8997,,2026-06-07 07:46:50
21,0.100355,96.7600,99.9554,100.0000,2026-06-07 07:47:00
22,0.049118,98.3600,99.9777,100.0000,2026-06-07 07:47:10
23,0.070856,97.7200,99.9443,100.0000,2026-06-07 07:47:21
24,0.051005,98.3300,99.9331,100.0000,2026-06-07 07:47:31
25,0.081543,97.3700,99.9889,100.0000,2026-06-07 07:47:41
26,0.046990,98.4600,99.7548,100.0000,2026-06-07 07:47:51
27,0.081971,97.6200,99.9889,100.0000,2026-06-07 07:48:01
28,0.040913,98.6200,99.9666,100.0000,2026-06-07 07:48:10
29,0.051560,98.3600,99.9554,100.0000,2026-06-07 07:48:18
30,0.058251,98.1300,99.9889,100.0000,2026-06-07 07:48:28
